Title,Artist
Last Night,Morgan Wallen
Kill Bill,SZA
Flowers,Miley Cyrus
Ella Baila Sola,Eslabon Armado X Peso Pluma
Un x100to,Grupo Frontera X Bad Bunny
Calm Down,Rema & Selena Gomez
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Die For You,The Weeknd & Ariana Grande
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
Anti-Hero,Taylor Swift
La Bebe,Yng Lvcas x Peso Pluma
Search & Rescue,Drake
Favorite Song,Toosii
Fast Car,Luke Combs
Sure Thing,Miguel
Players,Coi Leray
Rock And A Hard Place,Bailey Zimmerman
Double Fantasy,The Weeknd Featuring Future
You Proof,Morgan Wallen
As It Was,Harry Styles
Chemical,Post Malone
One Thing At A Time,Morgan Wallen
Thinkin' Bout Me,Morgan Wallen
Thought You Should Know,Morgan Wallen
I'm Good (Blue),David Guetta & Bebe Rexha
Something In The Orange,Zach Bryan
Thank God,Kane Brown With Katelyn Brown
Por Las Noches,Peso Pluma
Princess Diana,Ice Spice & Nicki Minaj
Escapism,RAYE Featuring 070 Shake
Under The Influence,Chris Brown
Dancin' In The Country,Tyler Hubbard
PRC,Peso Pluma X Natanael Cano
Slut Me Out,NLE Choppa
Lavender Haze,Taylor Swift
Handle On You,Parker McCollum
Unholy,Sam Smith & Kim Petras
Snooze,SZA
Just Wanna Rock,Lil Uzi Vert
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
Cupid,Fifty Fifty
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
TQG,Karol G x Shakira
Wait In The Truck,HARDY Featuring Lainey Wilson
Eyes Closed,Ed Sheeran
Spin Bout U,Drake & 21 Savage
Daylight,David Kushner
Rich Flex,Drake & 21 Savage
Love You Anyway,Luke Combs
Bebe Dame,Fuerza Regida X Grupo Frontera
Wild As Her,Corey Kent
See You Again,"Tyler, The Creator Featuring Kali Uchis"
Tennessee Orange,Megan Moroney
Next Thing You Know,Jordan Davis
Alone,Kim Petras Featuring Nicki Minaj
Chanel,Becky G & Peso Pluma
El Azul,Junior H x Peso Pluma
Haegeum,Agust D
Low Down,Lil Baby
Need A Favor,Jelly Roll
Bloody Mary,Lady Gaga
Peaches,Jack Black
Nonsense,Sabrina Carpenter
Ain't That Some,Morgan Wallen
Fight The Feeling,Rod Wave
Red Ruby Da Sleeze,Nicki Minaj
Beso,Rosalia & Rauw Alejandro
Ch y La Pizza,Fuerza Regida X Natanael Cano
Cowgirls,Morgan Wallen Featuring ERNEST
I Wrote The Book,Morgan Wallen
El Gordo Trae El Mando,Chino Pacas
Gold,Dierks Bentley
Man Made A Bar,Morgan Wallen Featuring Eric Church
Everything I Love,Morgan Wallen
Karma,Taylor Swift
ICU,Coco Jones
Que Vuelvas,Carin Leon X Grupo Frontera
Trance,"Metro Boomin, Travis Scott & Young Thug"
Yandel 150,Yandel & Feid
Igualito A Mi Apa,Fuerza Regida & Peso Pluma
In Ha Mood,Ice Spice
Fragil,Yahritza y Su Esencia x Grupo Frontera
Human,Cody Johnson
Painting Pictures,Superstar Pride
Never Felt So Alone,Labrinth
Dawns,Zach Bryan Featuring Maggie Rogers
Ceilings,Lizzy McAlpine
Memory Lane,Old Dominion
Di Que Si,Grupo Marca Registrada X Grupo Frontera
Strike (Holster),Lil Yachty
Happy,NF
Forever,Lil Baby Featuring Fridayy
Moonlight,Kali Uchis
Sunrise,Morgan Wallen
You Didn't,Brett Young
It Matters To Her,Scotty McCreery
Like Crazy,Jimin
All Of The Girls You Loved Before,Taylor Swift
5 Leaf Clover,Luke Combs
Big Truck,YoungBoy Never Broke Again
